primary_type,location_description,f0_
WEAPONS VIOLATION,POOL ROOM,4
STALKING,HOTEL / MOTEL,4
OBSCENITY,VEHICLE NON-COMMERCIAL,4
WEAPONS VIOLATION,SAVINGS AND LOAN,4
CRIM SEXUAL ASSAULT,AIRPORT/AIRCRAFT,4
NARCOTICS,FACTORY / MANUFACTURING BUILDING,4
MOTOR VEHICLE THEFT,FACTORY / MANUFACTURING BUILDING,4
MOTOR VEHICLE THEFT,BRIDGE,4
CONCEALED CARRY LICENSE VIOLATION,RESTAURANT,4
MOTOR VEHICLE THEFT,POOL ROOM,4
MOTOR VEHICLE THEFT,SCHOOL - PUBLIC BUILDING,4
NARCOTICS,HIGHWAY / EXPRESSWAY,4
WEAPONS VIOLATION,MEDICAL/DENTAL OFFICE,4
PUBLIC PEACE VIOLATION,COLLEGE / UNIVERSITY - GROUNDS,4
STALKING,TAVERN/LIQUOR STORE,4
ARSON,CTA GARAGE / OTHER PROPERTY,4
BURGLARY,LAKEFRONT / WATERFRONT / RIVERBANK,4
INTERFERENCE WITH PUBLIC OFFICER,FEDERAL BUILDING,4
PROSTITUTION,GOVERNMENT BUILDING/PROPERTY,4
ROBBERY,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,4
CRIMINAL SEXUAL ASSAULT,OTHER COMMERCIAL TRANSPORTATION,4
NON-CRIMINAL,GOVERNMENT BUILDING/PROPERTY,4
PROSTITUTION,CTA BUS STOP,4
SEX OFFENSE,APPLIANCE STORE,4
ROBBERY,POOL ROOM,4
CRIMINAL SEXUAL ASSAULT,FOREST PRESERVE,4
DECEPTIVE PRACTICE,BOAT / WATERCRAFT,4
INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT / LAND,4
INTIMIDATION,RESIDENCE - YARD (FRONT / BACK),4
INTIMIDATION,PARKING LOT / GARAGE (NON RESIDENTIAL),4
CONCEALED CARRY LICENSE VIOLATION,CHA PARKING LOT / GROUNDS,4
CRIM SEXUAL ASSAULT,AUTO / BOAT / RV DEALERSHIP,4
INTERFERENCE WITH PUBLIC OFFICER,OTHER (SPECIFY),4
BURGLARY,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,4
HOMICIDE,TRAILER,4
LIQUOR LAW VIOLATION,DRIVEWAY - RESIDENTIAL,4
OFFENSE INVOLVING CHILDREN,CHA PARKING LOT / GROUNDS,4
CRIMINAL SEXUAL ASSAULT,CHA PARKING LOT / GROUNDS,4
MOTOR VEHICLE THEFT,TAVERN / LIQUOR STORE,4
INTERFERENCE WITH PUBLIC OFFICER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,4
PUBLIC PEACE VIOLATION,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,4
ROBBERY,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,4
OBSCENITY,COMMERCIAL / BUSINESS OFFICE,4
MOTOR VEHICLE THEFT,APPLIANCE STORE,4
PROSTITUTION,BAR OR TAVERN,4
PROSTITUTION,NEWSSTAND,4
KIDNAPPING,OTHER RAILROAD PROP / TRAIN DEPOT,4
NON-CRIMINAL,AIRCRAFT,4
OTHER OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",4
STALKING,SCHOOL - PRIVATE BUILDING,4
WEAPONS VIOLATION,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",4
ROBBERY,FACTORY / MANUFACTURING BUILDING,4
CRIM SEXUAL ASSAULT,DRUG STORE,4
LIQUOR LAW VIOLATION,TAXICAB,4
GAMBLING,CHA APARTMENT,4
PROSTITUTION,OTHER RAILROAD PROP / TRAIN DEPOT,4
INTIMIDATION,NURSING / RETIREMENT HOME,4
WEAPONS VIOLATION,COIN OPERATED MACHINE,4
CONCEALED CARRY LICENSE VIOLATION,CTA TRAIN,4
STALKING,SCHOOL - PUBLIC BUILDING,4
KIDNAPPING,CTA TRAIN,4
BATTERY,AIRPORT TRANSPORTATION SYSTEM (ATS),4
PROSTITUTION,RESIDENTIAL YARD (FRONT/BACK),4
STALKING,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,4
THEFT,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,4
OFFENSE INVOLVING CHILDREN,OTHER RAILROAD PROPERTY / TRAIN DEPOT,4
NON-CRIMINAL,BAR OR TAVERN,4
HOMICIDE,LAKE,4
OFFENSE INVOLVING CHILDREN,ANIMAL HOSPITAL,4
OFFENSE INVOLVING CHILDREN,BOWLING ALLEY,4
CRIMINAL TRESPASS,,4
PUBLIC INDECENCY,HOTEL/MOTEL,4
INTIMIDATION,SCHOOL - PRIVATE GROUNDS,4
SEX OFFENSE,COIN OPERATED MACHINE,4
ROBBERY,COLLEGE/UNIVERSITY RESIDENCE HALL,4
MOTOR VEHICLE THEFT,OTHER RAILROAD PROPERTY / TRAIN DEPOT,4
PUBLIC INDECENCY,"SCHOOL, PUBLIC, GROUNDS",4
OBSCENITY,ATHLETIC CLUB,4
CRIMINAL SEXUAL ASSAULT,CONVENIENCE STORE,4
ROBBERY,HIGHWAY / EXPRESSWAY,4
OTHER NARCOTIC VIOLATION,RESIDENCE PORCH/HALLWAY,4
NON - CRIMINAL,STREET,4
CRIM SEXUAL ASSAULT,CLEANING STORE,4
INTIMIDATION,HOSPITAL BUILDING / GROUNDS,4
PUBLIC PEACE VIOLATION,BOWLING ALLEY,4
NARCOTICS,BOWLING ALLEY,4
HOMICIDE,CHA PLAY LOT,4
ARSON,CTA TRAIN,3
PROSTITUTION,LIBRARY,3
STALKING,HOSPITAL BUILDING / GROUNDS,3
BATTERY,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,3
CONCEALED CARRY LICENSE VIOLATION,OTHER,3
BURGLARY,VEHICLE - DELIVERY TRUCK,3
CONCEALED CARRY LICENSE VIOLATION,VACANT LOT/LAND,3
KIDNAPPING,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",3
CRIMINAL DAMAGE,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,3
OFFENSE INVOLVING CHILDREN,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,3
NON-CRIMINAL (SUBJECT SPECIFIED),APARTMENT,3
BURGLARY,COLLEGE / UNIVERSITY - GROUNDS,3
GAMBLING,CTA STATION,3
PUBLIC PEACE VIOLATION,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,3
ARSON,OTHER RAILROAD PROPERTY / TRAIN DEPOT,3
INTERFERENCE WITH PUBLIC OFFICER,BRIDGE,3
HOMICIDE,CHA ELEVATOR,3
BURGLARY,AIRPORT EXTERIOR - NON-SECURE AREA,3
OFFENSE INVOLVING CHILDREN,VACANT LOT / LAND,3
ARSON,GOVERNMENT BUILDING / PROPERTY,3
PROSTITUTION,VEHICLE-COMMERCIAL,3
PUBLIC INDECENCY,POLICE FACILITY/VEH PARKING LOT,3
ARSON,MEDICAL/DENTAL OFFICE,3
OTHER NARCOTIC VIOLATION,RESIDENCE,3
HOMICIDE,SEWER,3
CRIM SEXUAL ASSAULT,APPLIANCE STORE,3
KIDNAPPING,SCHOOL - PUBLIC GROUNDS,3
STALKING,SCHOOL - PRIVATE GROUNDS,3
HOMICIDE,COACH HOUSE,3
CRIMINAL TRESPASS,AIRCRAFT,3
OBSCENITY,DAY CARE CENTER,3
OTHER NARCOTIC VIOLATION,HOTEL/MOTEL,3
PUBLIC PEACE VIOLATION,NURSING / RETIREMENT HOME,3
OBSCENITY,RESIDENCE - YARD (FRONT / BACK),3
INTIMIDATION,COLLEGE/UNIVERSITY GROUNDS,3
WEAPONS VIOLATION,VEHICLE - OTHER RIDE SERVICE,3
CRIM SEXUAL ASSAULT,BANK,3
KIDNAPPING,MEDICAL/DENTAL OFFICE,3
PUBLIC PEACE VIOLATION,,3
HOMICIDE,RESIDENCE,3
CONCEALED CARRY LICENSE VIOLATION,RESIDENTIAL YARD (FRONT/BACK),3
SEX OFFENSE,TAVERN / LIQUOR STORE,3
OTHER OFFENSE,KENNEL,3
PUBLIC INDECENCY,BAR OR TAVERN,3
CRIMINAL SEXUAL ASSAULT,DRIVEWAY - RESIDENTIAL,3
PROSTITUTION,MOVIE HOUSE/THEATER,3
OBSCENITY,LIBRARY,3
WEAPONS VIOLATION,VEHICLE - DELIVERY TRUCK,3
OBSCENITY,CTA TRAIN,3
INTIMIDATION,AIRPORT/AIRCRAFT,3
INTERFERENCE WITH PUBLIC OFFICER,CAR WASH,3
BURGLARY,HIGHWAY/EXPRESSWAY,3
INTIMIDATION,CTA BUS STOP,3
CRIMINAL SEXUAL ASSAULT,TAVERN / LIQUOR STORE,3
WEAPONS VIOLATION,AIRPORT EXTERIOR - SECURE AREA,3
BURGLARY,SPORTS ARENA / STADIUM,3
CRIM SEXUAL ASSAULT,FACTORY/MANUFACTURING BUILDING,3
CRIM SEXUAL ASSAULT,BRIDGE,3
LIQUOR LAW VIOLATION,DEPARTMENT STORE,3
WEAPONS VIOLATION,MEDICAL / DENTAL OFFICE,3
CRIMINAL SEXUAL ASSAULT,GROCERY FOOD STORE,3
CONCEALED CARRY LICENSE VIOLATION,APARTMENT,3
OBSCENITY,DRUG STORE,3
OFFENSE INVOLVING CHILDREN,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,3
WEAPONS VIOLATION,JAIL / LOCK-UP FACILITY,3
HUMAN TRAFFICKING,HOTEL / MOTEL,3
INTIMIDATION,ATHLETIC CLUB,3
INTIMIDATION,LIBRARY,3
INTIMIDATION,COLLEGE / UNIVERSITY - GROUNDS,3
LIQUOR LAW VIOLATION,CTA STATION,3
WEAPONS VIOLATION,CTA TRACKS - RIGHT OF WAY,3
THEFT,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,3
STALKING,CHA PARKING LOT / GROUNDS,3
OBSCENITY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3
WEAPONS VIOLATION,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",3
WEAPONS VIOLATION,DAY CARE CENTER,3
OFFENSE INVOLVING CHILDREN,WAREHOUSE,3
INTIMIDATION,CTA TRAIN,3
SEX OFFENSE,MOVIE HOUSE / THEATER,3
NON-CRIMINAL,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,3
PROSTITUTION,WAREHOUSE,3
OBSCENITY,CTA BUS,3
PROSTITUTION,HOSPITAL BUILDING/GROUNDS,3
ARSON,DAY CARE CENTER,3
NARCOTICS,PAWN SHOP,3
INTIMIDATION,CURRENCY EXCHANGE,3
OFFENSE INVOLVING CHILDREN,COLLEGE / UNIVERSITY - GROUNDS,3
ROBBERY,POLICE FACILITY / VEHICLE PARKING LOT,3
CRIMINAL SEXUAL ASSAULT,BARBERSHOP,3
MOTOR VEHICLE THEFT,CTA BUS STOP,3
KIDNAPPING,NURSING HOME/RETIREMENT HOME,3
NON - CRIMINAL,APARTMENT,3
THEFT,VEHICLE - COMMERCIAL: TROLLEY BUS,3
HOMICIDE,YMCA,3
INTIMIDATION,DAY CARE CENTER,3
ROBBERY,CTA TRACKS - RIGHT OF WAY,3
OTHER OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",3
INTIMIDATION,SCHOOL - PRIVATE BUILDING,3
PUBLIC INDECENCY,COLLEGE/UNIVERSITY GROUNDS,3
CRIMINAL SEXUAL ASSAULT,TAXICAB,3
OBSCENITY,RESIDENTIAL YARD (FRONT/BACK),3
ROBBERY,SCHOOL - PRIVATE GROUNDS,3
HUMAN TRAFFICKING,HOSPITAL BUILDING/GROUNDS,3
BATTERY,VEHICLE-COMMERCIAL - TROLLEY BUS,3
BATTERY,KENNEL,3
INTERFERENCE WITH PUBLIC OFFICER,GOVERNMENT BUILDING / PROPERTY,3
SEX OFFENSE,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,3
NON-CRIMINAL,RESTAURANT,3
WEAPONS VIOLATION,MOVIE HOUSE/THEATER,3
PROSTITUTION,CHA HALLWAY/STAIRWELL/ELEVATOR,3
INTERFERENCE WITH PUBLIC OFFICER,OTHER RAILROAD PROP / TRAIN DEPOT,3
MOTOR VEHICLE THEFT,FEDERAL BUILDING,3
PUBLIC PEACE VIOLATION,HIGHWAY / EXPRESSWAY,3
LIQUOR LAW VIOLATION,SCHOOL - PUBLIC GROUNDS,3
KIDNAPPING,SPORTS ARENA/STADIUM,3
INTERFERENCE WITH PUBLIC OFFICER,BANK,3
ASSAULT,CTA TRACKS - RIGHT OF WAY,3
ROBBERY,MOVIE HOUSE / THEATER,3
SEX OFFENSE,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,3
MOTOR VEHICLE THEFT,CTA PLATFORM,3
BURGLARY,CHA PARKING LOT / GROUNDS,3
CRIM SEXUAL ASSAULT,SPORTS ARENA/STADIUM,3
OFFENSE INVOLVING CHILDREN,TAXICAB,3
PUBLIC PEACE VIOLATION,OTHER RAILROAD PROPERTY / TRAIN DEPOT,3
PROSTITUTION,ATHLETIC CLUB,3
GAMBLING,POLICE FACILITY/VEH PARKING LOT,3
HOMICIDE,FOREST PRESERVE,3
ARSON,BOAT/WATERCRAFT,3
KIDNAPPING,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",3
CRIM SEXUAL ASSAULT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,3
SEX OFFENSE,FEDERAL BUILDING,3
WEAPONS VIOLATION,AUTO / BOAT / RV DEALERSHIP,3
PUBLIC INDECENCY,GROCERY FOOD STORE,3
MOTOR VEHICLE THEFT,COLLEGE/UNIVERSITY RESIDENCE HALL,3
INTIMIDATION,,3
CONCEALED CARRY LICENSE VIOLATION,VEHICLE-COMMERCIAL,3
CRIMINAL SEXUAL ASSAULT,ATHLETIC CLUB,3
WEAPONS VIOLATION,BOAT/WATERCRAFT,3
LIQUOR LAW VIOLATION,CAR WASH,3
BURGLARY,CTA STATION,3
HOMICIDE,CHA BREEZEWAY,3
RITUALISM,APARTMENT,3
LIQUOR LAW VIOLATION,FACTORY/MANUFACTURING BUILDING,3
LIQUOR LAW VIOLATION,HOSPITAL BUILDING/GROUNDS,3
ARSON,DELIVERY TRUCK,3
ROBBERY,FEDERAL BUILDING,3
DECEPTIVE PRACTICE,CTA TRACKS - RIGHT OF WAY,3
CRIMINAL TRESPASS,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,3
NON-CRIMINAL,PARK PROPERTY,3
HUMAN TRAFFICKING,HOSPITAL BUILDING / GROUNDS,2
OTHER NARCOTIC VIOLATION,CTA TRAIN,2
WEAPONS VIOLATION,BOWLING ALLEY,2
PUBLIC INDECENCY,RESIDENCE PORCH/HALLWAY,2
OFFENSE INVOLVING CHILDREN,APPLIANCE STORE,2
NON-CRIMINAL,HOTEL/MOTEL,2
CONCEALED CARRY LICENSE VIOLATION,RESIDENCE PORCH/HALLWAY,2
INTIMIDATION,RESIDENCE - GARAGE,2
INTIMIDATION,CTA GARAGE / OTHER PROPERTY,2
CONCEALED CARRY LICENSE VIOLATION,VEHICLE - COMMERCIAL,2
GAMBLING,AIRPORT/AIRCRAFT,2
NON-CRIMINAL,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,2
CRIMINAL SEXUAL ASSAULT,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,2
INTIMIDATION,MEDICAL / DENTAL OFFICE,2
CONCEALED CARRY LICENSE VIOLATION,GROCERY FOOD STORE,2
CONCEALED CARRY LICENSE VIOLATION,VACANT LOT / LAND,2
ARSON,HOTEL / MOTEL,2
PUBLIC INDECENCY,"SCHOOL, PUBLIC, BUILDING",2
STALKING,CTA PARKING LOT / GARAGE / OTHER PROPERTY,2
PUBLIC PEACE VIOLATION,BOAT/WATERCRAFT,2
KIDNAPPING,TAVERN/LIQUOR STORE,2
STALKING,VACANT LOT/LAND,2
INTIMIDATION,SCHOOL - PUBLIC GROUNDS,2
OFFENSE INVOLVING CHILDREN,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,2
MOTOR VEHICLE THEFT,ANIMAL HOSPITAL,2
PUBLIC INDECENCY,"SCHOOL, PRIVATE, BUILDING",2
STALKING,MOVIE HOUSE/THEATER,2
GAMBLING,BOWLING ALLEY,2
PUBLIC PEACE VIOLATION,CREDIT UNION,2
CRIMINAL SEXUAL ASSAULT,LIBRARY,2
KIDNAPPING,BANK,2
CRIMINAL SEXUAL ASSAULT,WAREHOUSE,2
OFFENSE INVOLVING CHILDREN,VEHICLE - DELIVERY TRUCK,2
ARSON,APPLIANCE STORE,2
DECEPTIVE PRACTICE,HIGHWAY / EXPRESSWAY,2
ARSON,ANIMAL HOSPITAL,2
INTIMIDATION,CTA PLATFORM,2
PROSTITUTION,POLICE FACILITY / VEHICLE PARKING LOT,2
ARSON,NURSING / RETIREMENT HOME,2
PUBLIC PEACE VIOLATION,RESIDENCE - GARAGE,2
GAMBLING,CLEANING STORE,2
ROBBERY,SCHOOL - PRIVATE BUILDING,2
KIDNAPPING,LAKEFRONT/WATERFRONT/RIVERBANK,2
OFFENSE INVOLVING CHILDREN,CURRENCY EXCHANGE,2
STALKING,AIRPORT PARKING LOT,2
SEX OFFENSE,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,2
HOMICIDE,CURRENCY EXCHANGE,2
ARSON,MEDICAL / DENTAL OFFICE,2
PUBLIC PEACE VIOLATION,FOREST PRESERVE,2
OTHER OFFENSE,BOAT / WATERCRAFT,2
STALKING,,2
MOTOR VEHICLE THEFT,CEMETARY,2
PROSTITUTION,DRUG STORE,2
MOTOR VEHICLE THEFT,PAWN SHOP,2
THEFT,KENNEL,2
INTERFERENCE WITH PUBLIC OFFICER,COLLEGE/UNIVERSITY GROUNDS,2
OBSCENITY,SCHOOL - PRIVATE GROUNDS,2
HOMICIDE,PUBLIC HIGH SCHOOL,2
CONCEALED CARRY LICENSE VIOLATION,"SCHOOL, PRIVATE, BUILDING",2
OFFENSE INVOLVING CHILDREN,MOVIE HOUSE / THEATER,2
SEX OFFENSE,VEHICLE - DELIVERY TRUCK,2
INTERFERENCE WITH PUBLIC OFFICER,LIBRARY,2
INTERFERENCE WITH PUBLIC OFFICER,TAXICAB,2
STALKING,WAREHOUSE,2
STALKING,FACTORY / MANUFACTURING BUILDING,2
OTHER NARCOTIC VIOLATION,CTA PLATFORM,2
OFFENSE INVOLVING CHILDREN,COLLEGE/UNIVERSITY RESIDENCE HALL,2
CRIMINAL DAMAGE,VEHICLE - COMMERCIAL: TROLLEY BUS,2
HUMAN TRAFFICKING,OTHER,2
MOTOR VEHICLE THEFT,LAKEFRONT / WATERFRONT / RIVERBANK,2
HOMICIDE,ELEVATOR,2
HOMICIDE,PRAIRIE,2
HOMICIDE,CHURCH PROPERTY,2
NON-CRIMINAL,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,2
HUMAN TRAFFICKING,SIDEWALK,2
INTERFERENCE WITH PUBLIC OFFICER,FIRE STATION,2
OBSCENITY,SCHOOL - PRIVATE BUILDING,2
WEAPONS VIOLATION,,2
CRIMINAL SEXUAL ASSAULT,VEHICLE - DELIVERY TRUCK,2
STALKING,NURSING / RETIREMENT HOME,2
NON-CRIMINAL,TAXICAB,2
PROSTITUTION,DRIVEWAY - RESIDENTIAL,2
ARSON,CHA PARKING LOT / GROUNDS,2
SEX OFFENSE,AIRPORT EXTERIOR - SECURE AREA,2
CRIMINAL SEXUAL ASSAULT,COLLEGE / UNIVERSITY - GROUNDS,2
NON-CRIMINAL,CTA TRAIN,2
MOTOR VEHICLE THEFT,CHA HALLWAY / STAIRWELL / ELEVATOR,2
INTIMIDATION,FIRE STATION,2
BURGLARY,AIRPORT PARKING LOT,2
MOTOR VEHICLE THEFT,COIN OPERATED MACHINE,2
HOMICIDE,BANK,2
HOMICIDE,GOVERNMENT BUILDING,2
MOTOR VEHICLE THEFT,VEHICLE - OTHER RIDE SERVICE,2
INTERFERENCE WITH PUBLIC OFFICER,MEDICAL / DENTAL OFFICE,2
PROSTITUTION,COIN OPERATED MACHINE,2
STALKING,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,2
OBSCENITY,BARBERSHOP,2
HOMICIDE,LAUNDRY ROOM,2
OFFENSE INVOLVING CHILDREN,AIRPORT EXTERIOR - NON-SECURE AREA,2
KIDNAPPING,WAREHOUSE,2
CRIMINAL SEXUAL ASSAULT,AIRPORT EXTERIOR - NON-SECURE AREA,2
CRIMINAL SEXUAL ASSAULT,CONSTRUCTION SITE,2
HOMICIDE,COUNTY JAIL,2
KIDNAPPING,SCHOOL - PRIVATE GROUNDS,2
PUBLIC INDECENCY,OTHER RAILROAD PROP / TRAIN DEPOT,2
CRIMINAL SEXUAL ASSAULT,AIRPORT PARKING LOT,2
NARCOTICS,BOAT / WATERCRAFT,2
MOTOR VEHICLE THEFT,CTA BUS,2
GAMBLING,DRUG STORE,2
CONCEALED CARRY LICENSE VIOLATION,HOTEL / MOTEL,2
GAMBLING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2
INTIMIDATION,COLLEGE/UNIVERSITY RESIDENCE HALL,2
INTIMIDATION,SPORTS ARENA/STADIUM,2
INTERFERENCE WITH PUBLIC OFFICER,CURRENCY EXCHANGE,2
NON-CRIMINAL,CTA BUS,2
CRIMINAL SEXUAL ASSAULT,MOVIE HOUSE / THEATER,2
GAMBLING,ATHLETIC CLUB,2
CONCEALED CARRY LICENSE VIOLATION,HOTEL/MOTEL,2
WEAPONS VIOLATION,VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,2
WEAPONS VIOLATION,PAWN SHOP,2
BATTERY,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,2
INTERFERENCE WITH PUBLIC OFFICER,BARBERSHOP,2
INTIMIDATION,VACANT LOT/LAND,2
HOMICIDE,CTA SUBWAY STATION,2
BURGLARY,CHA HALLWAY / STAIRWELL / ELEVATOR,2
NON-CRIMINAL (SUBJECT SPECIFIED),POLICE FACILITY/VEH PARKING LOT,2
OFFENSE INVOLVING CHILDREN,COLLEGE / UNIVERSITY - RESIDENCE HALL,2
NARCOTICS,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,2
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE - GARAGE,2
SEX OFFENSE,FIRE STATION,2
KIDNAPPING,APPLIANCE STORE,2
HOMICIDE,PUBLIC GRAMMAR SCHOOL,2
ARSON,CTA BUS,2
NON-CRIMINAL,ALLEY,2
INTERFERENCE WITH PUBLIC OFFICER,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,2
SEX OFFENSE,COLLEGE / UNIVERSITY - GROUNDS,2
ROBBERY,BOWLING ALLEY,2
NON-CRIMINAL (SUBJECT SPECIFIED),RESIDENCE,2
NARCOTICS,VEHICLE - OTHER RIDE SERVICE,2
BURGLARY,CTA PARKING LOT / GARAGE / OTHER PROPERTY,2
KIDNAPPING,DRUG STORE,2
CRIMINAL TRESPASS,NEWSSTAND,2
NARCOTICS,SPORTS ARENA / STADIUM,2
INTERFERENCE WITH PUBLIC OFFICER,PAWN SHOP,2
WEAPONS VIOLATION,FIRE STATION,2
LIQUOR LAW VIOLATION,OTHER COMMERCIAL TRANSPORTATION,2
PROSTITUTION,AIRPORT/AIRCRAFT,2
PUBLIC PEACE VIOLATION,NEWSSTAND,2
OBSCENITY,CTA PLATFORM,2
OBSCENITY,GOVERNMENT BUILDING/PROPERTY,2
WEAPONS VIOLATION,COLLEGE / UNIVERSITY - GROUNDS,2
STALKING,AIRPORT EXTERIOR - NON-SECURE AREA,2
WEAPONS VIOLATION,ANIMAL HOSPITAL,2
SEX OFFENSE,BRIDGE,2
MOTOR VEHICLE THEFT,JAIL / LOCK-UP FACILITY,2
PUBLIC INDECENCY,MOVIE HOUSE/THEATER,2
OFFENSE INVOLVING CHILDREN,NURSING / RETIREMENT HOME,2
SEX OFFENSE,AUTO / BOAT / RV DEALERSHIP,2
HOMICIDE,LIVERY STAND OFFICE,2
GAMBLING,VEHICLE NON-COMMERCIAL,2
DECEPTIVE PRACTICE,BRIDGE,2
NARCOTICS,COLLEGE / UNIVERSITY - GROUNDS,2
LIQUOR LAW VIOLATION,AIRPORT/AIRCRAFT,2
CONCEALED CARRY LICENSE VIOLATION,CTA BUS,2
PUBLIC PEACE VIOLATION,ANIMAL HOSPITAL,2
STALKING,CHA HALLWAY / STAIRWELL / ELEVATOR,2
CONCEALED CARRY LICENSE VIOLATION,DRIVEWAY - RESIDENTIAL,2
ARSON,PAWN SHOP,2
KIDNAPPING,CTA STATION,2
CRIMINAL SEXUAL ASSAULT,DRUG STORE,2
HOMICIDE,FACTORY,2
OFFENSE INVOLVING CHILDREN,CAR WASH,2
NON-CRIMINAL,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,2
ASSAULT,VEHICLE - COMMERCIAL: TROLLEY BUS,2
RITUALISM,"SCHOOL, PUBLIC, BUILDING",2
CRIMINAL SEXUAL ASSAULT,AIRCRAFT,2
KIDNAPPING,DEPARTMENT STORE,2
BURGLARY,CTA TRAIN,2
PROSTITUTION,PARKING LOT / GARAGE (NON RESIDENTIAL),2
WEAPONS VIOLATION,CTA PARKING LOT / GARAGE / OTHER PROPERTY,2
OTHER OFFENSE,VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,2
NARCOTICS,CTA TRACKS - RIGHT OF WAY,2
PUBLIC INDECENCY,CONVENIENCE STORE,2
INTIMIDATION,CAR WASH,2
OFFENSE INVOLVING CHILDREN,VEHICLE-COMMERCIAL - TROLLEY BUS,2
CONCEALED CARRY LICENSE VIOLATION,TAVERN/LIQUOR STORE,2
HOMICIDE,BANQUET HALL,2
OBSCENITY,CTA BUS STOP,2
NARCOTICS,AIRPORT TRANSPORTATION SYSTEM (ATS),2
ARSON,JAIL / LOCK-UP FACILITY,2
INTIMIDATION,POOL ROOM,2
GAMBLING,CURRENCY EXCHANGE,2
CONCEALED CARRY LICENSE VIOLATION,POLICE FACILITY/VEH PARKING LOT,2
INTIMIDATION,"SCHOOL, PRIVATE, GROUNDS",2
STALKING,SPORTS ARENA/STADIUM,2
PROSTITUTION,HOTEL / MOTEL,2
KIDNAPPING,GOVERNMENT BUILDING / PROPERTY,2
SEX OFFENSE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,2
ROBBERY,SPORTS ARENA / STADIUM,2
ASSAULT,COLLEGE / UNIVERSITY - RESIDENCE HALL,2
BURGLARY,CTA BUS STOP,2
OFFENSE INVOLVING CHILDREN,FEDERAL BUILDING,2
CONCEALED CARRY LICENSE VIOLATION,HOSPITAL BUILDING/GROUNDS,2
LIQUOR LAW VIOLATION,VEHICLE-COMMERCIAL,2
BURGLARY,FARM,2
GAMBLING,BARBERSHOP,2
HOMICIDE,ROOMING HOUSE,2
HUMAN TRAFFICKING,OTHER (SPECIFY),2
OTHER NARCOTIC VIOLATION,SCHOOL - PRIVATE BUILDING,1
OFFENSE INVOLVING CHILDREN,BOAT/WATERCRAFT,1
NON-CRIMINAL,HOSPITAL BUILDING/GROUNDS,1
DECEPTIVE PRACTICE,CHA HALLWAY / STAIRWELL / ELEVATOR,1
HOMICIDE,HOSPITAL BUILDING/GROUNDS,1
CRIMINAL SEXUAL ASSAULT,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1
ROBBERY,AIRPORT TRANSPORTATION SYSTEM (ATS),1
OFFENSE INVOLVING CHILDREN,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,1
RITUALISM,HOTEL/MOTEL,1
CONCEALED CARRY LICENSE VIOLATION,HIGHWAY/EXPRESSWAY,1
